district_id,city_id,region_id,local_seq,name_ar,name_en,center_lat,center_lon,bbox_min_lon,bbox_min_lat,bbox_max_lon,bbox_max_lat
10100003073,3,1,73,حي القادسية,Al Qadisiyah Dist.,24.8288956,46.8354005,46.7978472,24.8000248,46.8500791,24.8394362
10100003074,3,1,74,حي الصفا,Al Safa Dist.,24.671641,46.7645536,46.7482849,24.6541399,46.784617,24.679582
10100003075,3,1,75,حي العليا,Al Olaya Dist.,24.6867047,46.6873459,46.6635668,24.6682084,46.7034186,24.7164656
10100003076,3,1,76,حي الدريهمية,Al Duraihemiyah Dist.,24.5892797,46.6964041,46.6853563,24.582813,46.705298,24.5961291
10100003077,3,1,77,حي الاسكان,Al Iskan Dist.,24.5815846,46.8554621,46.8265004,24.5587529,46.8690022,24.5891071
10100003078,3,1,78,حي السلام,Al Salam Dist.,24.7047278,46.8077844,46.7947366,24.6928164,46.8276632,24.7227223
10100003079,3,1,79,حي المنار,Al Manar Dist.,24.7219427,46.7971879,46.7833467,24.7125851,46.8111902,24.7381421
10100003080,3,1,80,حي النسيم الشرقي,East Naseem Dist.,24.7388513,46.8547552,46.820256,24.7131706,46.8697534,24.7648491
10100003081,3,1,81,حي القدس,Al Quds Dist.,24.754557,46.7505925,46.7388479,24.7400478,46.7699793,24.7676901
10100003082,3,1,82,حي الوادي,Al Wadi Dist.,24.7854406,46.6940185,46.6781164,24.7774809,46.7043518,24.8014069
10100003083,3,1,83,حي النفل,Al Nafel Dist.,24.7799757,46.6706091,46.6602144,24.7698991,46.6863835,24.793869
10100003084,3,1,84,حي المصيف,Al Maseef Dist.,24.7625691,46.6793599,46.6683758,24.7534579,46.6946817,24.7774809
10100003085,3,1,85,حي التعاون,Al Taawun Dist.,24.7778721,46.6979538,46.6863835,24.7610399,46.7126571,24.7850428
10100003086,3,1,86,حي الازدهار,Al Ezdihar Dist.,24.7810499,46.7222678,46.7043518,24.7686129,46.7305947,24.7925973
10100003087,3,1,87,حي الاندلس,Al Andalus Dist.,24.7396437,46.7856245,46.7745191,24.7302063,46.8026971,24.7567575
10100003088,3,1,88,حي الروضة,Al Rawdah Dist.,24.736141,46.7732779,46.7488175,24.714498,46.7870113,24.7531573
10100003089,3,1,89,حي الروابي,Al Rawabi Dist.,24.6940606,46.7885573,46.7734793,24.679582,46.8095533,24.7125851
10100003090,3,1,90,حي الريان,Al Rayan Dist.,24.7076264,46.7745421,46.7617496,24.6946937,46.7947366,24.7279281
10100003091,3,1,91,حي ظهرة البديعة,Dhahrat Al Badeah Dist.,24.6032728,46.6674505,46.6226813,24.5804274,46.6792088,24.6137992
10100003092,3,1,92,حي النظيم,Al Nadheem Dist.,24.8767744,46.9918182,46.8727325,24.7731337,47.0623348,24.9530759
10100003093,3,1,93,حي الرماية,Al Rimayah Dist.,24.7731169,46.8671739,46.8413237,24.7442702,46.9059726,24.7965885
10100003094,3,1,94,حي البرية,Al Bariyah Dist.,24.5638206,46.9693524,46.8692136,24.4980976,47.0069275,24.5964942
10100003095,3,1,95,حي طيبة,Taybah Dist.,24.5456876,46.8358698,46.7959402,24.5098789,46.8652075,24.5735912
10100003096,3,1,96,حي المنصورية,Mansuriyah Dist.,24.5093556,46.7891279,46.76913,24.4823872,46.8338932,24.5552321
10100003097,3,1,97,حي ضاحية نمار,Dahiyat Namar Dist.,24.5122259,46.5280907,46.4129439,24.4409405,46.6270095,24.5512814
10100003098,3,1,98,حي المصفاة,Al Misfat Dist.,24.473761,46.9218172,46.821212,24.410228,47.0045672,24.5487912
